timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,990,754,882,977,981
10,2,-5,978,771,895,976,979
20,2,-7,994,766,882,990,987
30,2,-8,997,773,880,986,988
40,2,-8,979,784,891,975,983
50,2,-8,992,774,897,976,987
60,2,-8,992,766,898,986,968
70,2,-9,973,763,885,980,982
80,2,-10,998,769,887,983,976
90,2,-10,979,777,886,993,982
100,3,-10,1003,780,881,994,979
110,4,-10,983,765,881,981,985
120,5,-10,990,758,917,985,981
130,6,-10,971,784,889,976,987
140,7,-10,976,761,909,995,974
150,8,-10,978,771,907,981,974
160,9,-10,994,766,896,981,931
170,9,-10,989,789,887,969,988
180,9,-10,989,777,887,982,976
190,9,-10,976,782,867,976,990
200,9,-10,991,797,891,981,981
210,9,-10,987,765,903,979,986
220,9,-9,940,784,891,982,1005
230,9,-9,992,772,889,992,978
240,9,-9,1019,766,879,992,982
250,9,-9,987,781,887,1009,976
260,9,-9,978,765,885,976,979
270,9,-9,1010,760,890,979,969
280,9,-9,989,759,902,991,988
290,9,-9,959,765,901,975,976
300,9,-9,973,784,880,973,987
310,9,-9,999,771,881,974,985
320,9,-9,989,767,871,976,985
330,9,-9,995,767,880,978,973
340,8,-9,990,769,897,977,978
350,7,-9,989,773,882,972,979
360,6,-9,998,767,903,981,983
370,5,-8,970,775,880,995,983
380,4,-8,988,785,889,971,996
390,3,-8,978,770,891,975,976
400,2,-8,953,782,887,977,981
410,1,-7,980,784,889,989,986
420,0,-6,976,784,901,990,976
430,0,-5,983,790,880,992,949
440,0,-4,987,770,882,995,987
450,0,-3,1010,778,886,991,976
460,0,-2,987,806,882,983,980
470,0,-1,973,770,894,989,976
480,0,0,985,754,891,976,989
490,0,0,977,850,897,1001,978
500,0,0,982,786,902,975,976
510,0,0,944,759,894,989,988
520,0,0,987,755,901,951,986
530,0,0,997,762,882,979,976
540,0,0,974,771,896,989,962
550,0,0,985,784,884,978,977
560,0,0,1008,769,892,994,1005
570,0,0,973,779,895,989,973
580,0,0,981,759,903,986,971
590,0,0,970,759,903,977,994
600,0,0,981,770,878,981,977
610,0,0,1003,774,884,987,979
620,0,0,978,783,894,1040,982
630,0,0,991,789,904,973,978
640,0,0,993,783,898,981,976
650,0,0,994,765,892,960,982
660,0,0,972,771,894,970,989
670,0,0,973,775,892,976,947
680,0,0,991,778,881,982,976
690,0,0,981,769,903,976,983
700,0,0,981,800,879,987,986
710,0,0,999,784,879,976,979
720,0,0,978,784,880,1012,995
730,0,0,985,781,890,975,982
740,0,0,987,768,882,1005,983
750,0,0,995,784,905,977,973
760,0,0,998,775,890,1002,984
770,0,0,983,783,891,977,987
780,0,0,1008,790,897,982,991
790,0,0,979,773,894,1002,976
800,0,0,979,755,887,976,976
810,0,0,977,768,880,992,978
820,0,0,975,763,895,993,973
830,0,0,986,774,894,987,972
840,0,0,976,773,896,1001,986
850,0,0,981,769,890,982,965
860,0,0,978,752,896,974,987
870,0,0,1001,779,891,995,994
880,0,0,986,762,892,976,976
890,0,0,976,773,896,980,983
900,0,0,991,761,896,985,973
910,0,0,976,783,901,988,977
920,0,0,991,771,895,976,985
930,0,0,983,774,890,973,977
940,0,0,976,785,896,995,978
950,0,0,976,775,885,976,976
960,0,0,1000,746,889,976,966
970,0,0,982,766,893,973,986
980,0,0,976,775,912,977,986
990,0,0,960,803,882,992,985
